"x"
"ISG15"
"RER1"
"CAMTA1"
"PARK7"
"EFHD2"
"MRTO4"
"MICOS10"
"CDA"
"CDC42"
"RPL11"
"PNRC2"
"SRRM1"
"CLIC4"
"TMEM50A"
"ZNF593"
"SH3BGRL3"
"HMGN2"
"SFN"
"NUDC"
"ATP5IF1"
"SNHG3"
"YTHDF2"
"ZCCHC17"
"TINAGL1"
"KHDRBS1"
"TXLNA"
"EIF3I"
"HDAC1"
"RBBP4"
"ADPRS"
"MAP7D1"
"THRAP3"
"CDCA8"
"C1orf122"
"UTP11"
"AKIRIN1"
"NDUFS5"
"MACF1"
"CAP1"
"CTPS1"
"PPCS"
"PPIH"
"YBX1"
"CDC20"
"ATP6V0B"
"KIF2C"
"RPS8"
"UROD"
"AKR1A1"
"NASP"
"UQCRH"
"CMPK1"
"CDKN2C"
"BTF3L4"
"SCP2"
"MRPL37"
"USP1"
"PGM1"
"LEPROT"
"MIER1"
"GADD45A"
"SRSF11"
"CTH"
"TYW3"
"ACADM"
"NEXN"
"CCN1"
"SH3GLB1"
"LMO4"
"PKN2"
"ZNF326"
"RPAP2"
"RPL5"
"FNBP1L"
"SNX7"
"PRPF38B"
"GPSM2"
"SARS1"
"GNAI3"
"AHCYL1"
"ATP5PB"
"CAPZA1"
"ATP1A1"
"MAN1A2"
"PHGDH"
"SRGAP2C"
"POLR3GL"
"NUDT4B"
"H2AC19"
"H3C15"
"H2AC20"
"MRPS21"
"PSMD4"
"PSMB4"
"CHTOP"
"RPS27"
"UBAP2L"
"HAX1"
"CKS1B"
"MTX1"
"FDPS"
"DAP3"
"LAMTOR2"
"LMNA"
"PMF1"
"NAXE"
"IFI16"
"DUSP23"
"PEA15"
"UFC1"
"NDUFS2"
"SDHC"
"ATF6"
"UHMK1"
"UAP1"
"NUF2"
"MGST3"
"TIPRL"
"ATP1B1"
"PRRC2C"
"SUCO"
"PRDX6"
"ZBTB37"
"CACYBP"
"CEP350"
"QSOX1"
"IER5"
"DHX9"
"TSEN15"
"RO60"
"CDC73"
"C1orf53"
"NAV1"
"TIMM17A"
"ZBED6"
"SNRPE"
"CD55"
"CD46"
"G0S2"
"LINC00467"
"NENF"
"ATF3"
"CENPF"
"RRP15"
"TGFB2"
"IARS2"
"MIA3"
"CAPN2"
"DEGS1"
"CNIH4"
"SRP9"
"H3-3A"
"ARF1"
"GUK1"
"RNF187"
"RAB4A"
"TSNAX"
"COA6"
"LGALS8"
"SDCCAG8"
"DESI2"
"COX20"
"SCCPDH"
"HES4"
"SDF4"
"AURKAIP1"
"MRPL20"
"SSU72"
"CDK11B"
"GNB1"
"FAAP20"
"RPL22"
"ERRFI1"
"ENO1"
"CTNNBIP1"
"SRM"
"EPHA2"
"MFAP2"
"UBR4"
"AKR7A2"
"CAPZB"
"CAMK2N1"
"DDOST"
"HP1BP3"
"ECE1"
"LUZP1"
"HNRNPR"
"ID3"
"SRSF10"
"SYF2"
"STMN1"
"WASF2"
"DNAJC8"
"SNHG12"
"SRSF4"
"LAPTM5"
"PUM1"
"SNRNP40"
"PTP4A2"
"MARCKSL1"
"ZBTB8OS"
"YARS1"
"TMEM54"
"AK2"
"PHC2"
"SFPQ"
"PSMB2"
"CLSPN"
"TRAPPC3"
"LSM10"
"MRPS15"
"MEAF6"
"SF3A3"
"PABPC4"
"PPT1"
"SVBP"
"SLC2A1"
"EBNA1BP2"
"ELOVL1"
"MED8"
"HYI"
"ERI3"
"PRDX1"
"NRDC"
"TXNDC12"
"TUT4"
"CZIB"
"MAGOH"
"IFT25"
"TMEM59"
"DHCR24"
"TACSTD2"
"JUN"
"JAK1"
"SERBP1"
"GNG12"
"WLS"
"DEPDC1"
"ZRANB2"
"GNG5"
"BCL10"
"ZNHIT6"
"SELENOF"
"ZNF644"
"EVI5"
"BCAR3"
"DNTTIP2"
"ARHGAP29"
"F3"
"CNN3"
"SLC25A24"
"PSRC1"
"PSMA5"
"LAMTOR5"
"RHOC"
"BCAS2"
"CSDE1"
"CD58"
"SRGAP2B"
"RNF115"
"ITGA10"
"RBM8A"
"TXNIP"
"NOTCH2NLA"
"NBPF14"
"H2BC18"
"H3C14"
"H2AC18"
"ANP32E"
"APH1A"
"MCL1"
"ENSA"
"MRPL9"
"S100A10"
"S100A11"
"S100A6"
"S100A4"
"S100A2"
"S100A16"
"S100A13"
"ILF2"
"SLC39A1"
"JTB"
"RAB13"
"TPM3"
"C1orf43"
"UBE2Q1"
"PMVK"
"SHC1"
"KRTCAP2"
"ASH1L"
"SSR2"
"CCT3"
"NES"
"MRPL24"
"HDGF"
"TAGLN2"
"COPA"
"PFDN2"
"ALDH9A1"
"TMCO1"
"MPC2"
"GAS5"
"ABL2"
"TOR1AIP2"
"ACBD6"
"NCF2"
"ARPC5"
"NIBAN1"
"TPR"
"UCHL5"
"GLRX2"
"ASPM"
"KIF14"
"CSRP1"
"UBE2T"
"KDM5B"
"KISS1"
"NUCKS1"
"LAMB3"
"SERTAD4-AS1"
"NEK2"
"PTPN14"
"EPRS1"
"AIDA"
"LBR"
"ENAH"
"LEFTY1"
"PYCR2"
"ACBD3"
