"x"
"ISG15"
"AGRN"
"VWA1"
"ATAD3A"
"RER1"
"CAMTA1"
"VAMP3"
"PARK7"
"SPSB1"
"KIF1B"
"PGD"
"CENPS"
"TARDBP"
"AGTRAP"
"KAZN"
"EFHD2"
"SPEN"
"SZRD1"
"MRTO4"
"MICOS10"
"CDC42"
"KDM1A"
"RPL11"
"ELOA"
"PITHD1"
"LYPLA2"
"PNRC2"
"SRRM1"
"TMEM50A"
"ZNF593"
"SH3BGRL3"
"HMGN2"
"RPS6KA1"
"ARID1A"
"SFN"
"NUDC"
"ATP5IF1"
"PHACTR4"
"RCC1"
"SNHG3"
"YTHDF2"
"ZCCHC17"
"SERINC2"
"TINAGL1"
"KHDRBS1"
"KPNA6"
"TXLNA"
"EIF3I"
"HDAC1"
"RBBP4"
"ADPRS"
"THRAP3"
"CDCA8"
"C1orf122"
"UTP11"
"AKIRIN1"
"NDUFS5"
"MACF1"
"PPIE"
"CAP1"
"ZMPSTE24"
"CTPS1"
"PPCS"
"PPIH"
"YBX1"
"CDC20"
"PTPRF"
"ATP6V0B"
"KIF2C"
"RPS8"
"AKR1A1"
"NASP"
"TSPAN1"
"UQCRH"
"CYP4B1"
"CYP4Z1"
"CMPK1"
"OSBPL9"
"BTF3L4"
"PRPF38A"
"SCP2"
"MRPL37"
"NFIA"
"USP1"
"PGM1"
"AK4"
"LEPROT"
"PDE4B"
"MIER1"
"GADD45A"
"SRSF11"
"TYW3"
"ACADM"
"IFI44L"
"IFI44"
"CCN1"
"CLCA2"
"SH3GLB1"
"LMO4"
"PKN2"
"ZNF326"
"RPAP2"
"RPL5"
"FNBP1L"
"PALMD"
"AGL"
"PRPF38B"
"GPSM2"
"ELAPOR1"
"SARS1"
"GNAI3"
"AHCYL1"
"ATP5PB"
"CAPZA1"
"ATP1A1"
"PTGFRN"
"TTF2"
"MAN1A2"
"WDR3"
"PHGDH"
"SRGAP2C"
"FAM72D"
"PDE4DIP"
"NOTCH2NLC"
"LINC00869"
"H2AC19"
"H3C15"
"H2AC20"
"MRPS21"
"PRPF3"
"RPRD2"
"PSMD4"
"PSMB4"
"S100A9"
"S100A1"
"CHTOP"
"SNAPIN"
"CREB3L4"
"RPS27"
"UBAP2L"
"HAX1"
"CKS1B"
"FLAD1"
"ADAM15"
"EFNA4"
"EFNA1"
"SLC50A1"
"MTX1"
"FDPS"
"RUSC1"
"DAP3"
"LAMTOR2"
"RAB25"
"LMNA"
"PMF1"
"NAXE"
"PRCC"
"IFI16"
"DUSP23"
"LINC01133"
"UFC1"
"NDUFS2"
"SDHC"
"UHMK1"
"UAP1"
"NUF2"
"PBX1"
"MGST3"
"UCK2"
"MPZL1"
"TIPRL"
"SFT2D2"
"ATP1B1"
"FMO3"
"FMO2"
"PRRC2C"
"SUCO"
"PRDX6"
"CACYBP"
"RALGPS2"
"CEP350"
"QSOX1"
"IER5"
"DHX9"
"LAMC1"
"C1orf21"
"HMCN1"
"RO60"
"CDC73"
"CAMSAP2"
"NAV1"
"IPO9"
"TIMM17A"
"RNPEP"
"ELF3"
"TMEM183A"
"BTG2"
"ZBED6"
"SNRPE"
"CD55"
"CD46"
"MIR205HG"
"SERTAD4"
"LINC00467"
"DTL"
"NENF"
"ATF3"
"CENPF"
"KCTD3"
"RRP15"
"TGFB2"
"IARS2"
"MIA3"
"CAPN2"
"DEGS1"
"CNIH4"
"SRP9"
"EPHX1"
"H3-3A"
"ARF1"
"GUK1"
"RNF187"
"RAB4A"
"GALNT2"
"TSNAX"
"KCNK1"
"COA6"
"GGPS1"
"LGALS8"
"DESI2"
"COX20"
"NOC2L"
"HES4"
"SDF4"
"UBE2J2"
"INTS11"
"AURKAIP1"
"CCNL2"
"MRPL20"
"SSU72"
"CDK11B"
"CDK11A"
"GNB1"
"FAAP20"
"RPL22"
"ACOT7"
"ERRFI1"
"RERE"
"ENO1"
"CLSTN1"
"CTNNBIP1"
"LZIC"
"DFFA"
"SRM"
"MAD2L2"
"DHRS3"
"SDHB"
"PADI2"
"RCC2"
"ALDH4A1"
"IFFO2"
"UBR4"
"AKR7A2"
"CAPZB"
"PLA2G2A"
"CAMK2N1"
"DDOST"
"HP1BP3"
"ECE1"
"USP48"
"LUZP1"
"HNRNPR"
"ID3"
"SRSF10"
"SYF2"
"RSRP1"
"STMN1"
"WASF2"
"LINC02574"
"IFI6"
"RPA2"
"DNAJC8"
"TAF12"
"SRSF4"
"PUM1"
"SNRNP40"
"PTP4A2"
"MARCKSL1"
"ZBTB8OS"
"YARS1"
"TMEM54"
"AK2"
"SMIM12"
"SFPQ"
"PSMB2"
"CLSPN"
"TRAPPC3"
"LSM10"
"MRPS15"
"MEAF6"
"GNL2"
"YRDC"
"SF3A3"
"MYCBP"
"PABPC4"
"PPT1"
"CITED4"
"EDN2"
"SLC2A1"
"EBNA1BP2"
"ELOVL1"
"MED8"
"ERI3"
"PRDX1"
"PIK3R3"
"PDZK1IP1"
"NRDC"
"TXNDC12"
"TUT4"
"MAGOH"
"IFT25"
"TMEM59"
"SSBP3"
"DHCR24"
"TACSTD2"
"JUN"
"JAK1"
"SERBP1"
"GNG12"
"WLS"
"DEPDC1"
"ZRANB2"
"FUBP1"
"GNG5"
"SSX2IP"
"ZNHIT6"
"SELENOF"
"GBP1"
"GBP2"
"GBP4"
"ZNF644"
"DNTTIP2"
"GCLM"
"ARHGAP29"
"F3"
"CNN3"
"SLC25A24"
"SORT1"
"PSMA5"
"GSTM3"
"LAMTOR5"
"LRIF1"
"WDR77"
"RHOC"
"SLC16A1"
"BCAS2"
"CSDE1"
"SIKE1"
"IGSF3"
"VTCN1"
"FAM72C"
"SRGAP2B"
"RNF115"
"PIAS3"
"RBM8A"
"LIX1L"
"TXNIP"
"NBPF10"
"NOTCH2NLA"
"NBPF14"
"NOTCH2NLB"
"H3C14"
"H2AC18"
"H2BC21"
"SF3B4"
"APH1A"
"MCL1"
"ENSA"
"CTSS"
"CERS2"
"CDC42SE1"
"SELENBP1"
"MRPL9"
"S100A10"
"S100A11"
"S100A8"
"S100A7"
"S100A6"
"S100A4"
"S100A2"
"S100A16"
"S100A14"
"S100A13"
"ILF2"
"SLC39A1"
"JTB"
"RAB13"
"TPM3"
"C1orf43"
"UBE2Q1"
"ADAR"
"PMVK"
"SHC1"
"DPM3"
"KRTCAP2"
"MUC1"
"ASH1L"
"GON4L"
"RIT1"
"SSR2"
"MEX3A"
"CCT3"
"NES"
"CRABP2"
"ISG20L2"
"MRPL24"
"HDGF"
"TAGLN2"
"COPA"
"ITLN2"
"F11R"
"TSTD1"
"PFDN2"
"ALDH9A1"
"TMCO1"
"CREG1"
"MPC2"
"GAS5"
"MRPS14"
"KIAA0040"
"TOR1AIP2"
"ACBD6"
"STX6"
"GLUL"
"ARPC5"
"IVNS1ABP"
"TPR"
"UCHL5"
"GLRX2"
"ASPM"
"ZNF281"
"KIF14"
"TMEM9"
"LAD1"
"PHLDA3"
"CSRP1"
"ARL8A"
"UBE2T"
"KDM5B"
"ADIPOR1"
"CHI3L1"
"LEMD1"
"NUCKS1"
"FAM72A"
"PIGR"
"LAMB3"
"IRF6"
"SERTAD4-AS1"
"NEK2"
"LPGAT1"
"NSL1"
"PTPN14"
"EPRS1"
"AIDA"
"LBR"
"ENAH"
"ACBD3"
"PARP1"
"C1orf35"
"MRPL55"
"H2AC25"
"CCSAP"
"C1orf131"
"SIPA1L2"
"IRF2BP2"
"TOMM20"
"RBM34"
"ARID4B"
"LYST"
"HEATR1"
"FH"
"OPN3"
"CHML"
"CEP170"
"ADSS2"
"HNRNPU"
"AHCTF1"
"ACP1"
"RPS7"
"RSAD2"
"ID2"
"IAH1"
"RRM2"
"DDX1"
"VSNL1"
"RHOB"
"RAB10"
"HADHB"
"CENPA"
"ATRAID"
"NRBP1"
"SLC4A1AP"
"MRPL33"
"PPP1CB"
"WDR43"
"BIRC6"
"LTBP1"
"CRIM1"
"MORN2"
"EML4"
"EPAS1"
"EPCAM"
"MSH2"
"MSH6"
"ERLEC1"
"SPTBN1"
